"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","usual","less_proper","completed","1","convenient","inconv","slightly_prob","priority","priority"
"2","usual","less_proper","completed","more","convenient","inconv","slightly_prob","not_recom","not_recom"
"3","pretentious","critical","incomplete","2","critical","inconv","nonprob","priority","priority"
"4","pretentious","improper","completed","3","less_conv","inconv","problematic","priority","spec_prior"
"5","usual","improper","complete","3","less_conv","inconv","nonprob","priority","priority"
"6","pretentious","improper","incomplete","1","less_conv","convenient","slightly_prob","priority","priority"
"7","pretentious","less_proper","completed","more","critical","inconv","problematic","recommended","priority"
"8","great_pret","improper","complete","more","critical","inconv","problematic","priority","spec_prior"
"9","great_pret","proper","incomplete","3","less_conv","convenient","nonprob","priority","priority"
"10","great_pret","less_proper","incomplete","2","less_conv","convenient","nonprob","priority","priority"
"11","great_pret","very_crit","foster","more","critical","convenient","slightly_prob","not_recom","not_recom"
"12","usual","less_proper","complete","more","less_conv","convenient","nonprob","recommended","priority"
"13","usual","critical","completed","1","convenient","inconv","nonprob","priority","spec_prior"
"14","great_pret","proper","foster","3","less_conv","inconv","slightly_prob","priority","spec_prior"
"15","pretentious","improper","incomplete","1","less_conv","inconv","problematic","priority","priority"
"16","usual","proper","foster","3","less_conv","convenient","slightly_prob","recommended","priority"
"17","usual","less_proper","completed","1","convenient","convenient","slightly_prob","recommended","priority"
"18","great_pret","very_crit","incomplete","more","less_conv","inconv","problematic","not_recom","not_recom"
"19","great_pret","less_proper","complete","more","convenient","inconv","slightly_prob","priority","priority"
"20","usual","critical","foster","2","critical","inconv","problematic","not_recom","not_recom"
"21","pretentious","improper","incomplete","1","convenient","inconv","nonprob","priority","not_recom"
"22","pretentious","less_proper","incomplete","2","less_conv","inconv","problematic","not_recom","not_recom"
"23","usual","very_crit","complete","1","critical","convenient","nonprob","not_recom","not_recom"
"24","usual","improper","complete","more","convenient","convenient","slightly_prob","not_recom","not_recom"
"25","great_pret","less_proper","incomplete","1","less_conv","inconv","nonprob","not_recom","not_recom"
"26","great_pret","critical","foster","more","critical","inconv","problematic","not_recom","not_recom"
"27","usual","less_proper","complete","1","critical","convenient","slightly_prob","priority","priority"
"28","pretentious","critical","completed","1","convenient","inconv","nonprob","not_recom","not_recom"
"29","usual","critical","complete","1","convenient","inconv","slightly_prob","recommended","priority"
"30","pretentious","improper","incomplete","1","convenient","inconv","nonprob","not_recom","not_recom"
"31","usual","less_proper","completed","1","less_conv","inconv","nonprob","recommended","priority"
"32","usual","less_proper","completed","3","convenient","convenient","problematic","not_recom","not_recom"
