"","parents","has_nurs","form","children","housing","finance","social","health","class"
"1","usual","improper","foster","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"2","usual","improper","foster","3","less_conv","convenient","problematic","not_recom","not_recom"
"3","great_pret","improper","complete","1","critical","inconv","slightly_prob","not_recom","not_recom"
"4","great_pret","proper","complete","2","less_conv","convenient","slightly_prob","not_recom","not_recom"
"5","great_pret","very_crit","completed","more","convenient","convenient","problematic","not_recom","not_recom"
"6","usual","critical","completed","more","convenient","inconv","problematic","recommended","spec_prior"
"7","usual","improper","complete","3","convenient","convenient","slightly_prob","not_recom","not_recom"
"8","great_pret","proper","foster","1","critical","inconv","nonprob","recommended","priority"
"9","usual","critical","foster","3","less_conv","convenient","slightly_prob","priority","spec_prior"
"10","great_pret","critical","completed","more","less_conv","inconv","nonprob","recommended","spec_prior"
"11","pretentious","proper","incomplete","1","convenient","convenient","problematic","not_recom","not_recom"
"12","pretentious","improper","foster","1","critical","inconv","slightly_prob","priority","spec_prior"
"13","great_pret","less_proper","completed","2","critical","convenient","problematic","not_recom","not_recom"
"14","usual","critical","complete","more","convenient","convenient","nonprob","not_recom","not_recom"
"15","pretentious","proper","foster","3","less_conv","inconv","slightly_prob","recommended","priority"
"16","great_pret","proper","incomplete","2","less_conv","convenient","nonprob","recommended","priority"
"17","great_pret","very_crit","incomplete","2","critical","inconv","problematic","not_recom","not_recom"
"18","great_pret","proper","incomplete","3","less_conv","inconv","nonprob","priority","spec_prior"
"19","great_pret","less_proper","foster","1","critical","inconv","problematic","priority","spec_prior"
"20","usual","critical","completed","2","less_conv","convenient","problematic","priority","priority"
"21","pretentious","improper","complete","3","convenient","inconv","slightly_prob","priority","spec_prior"
"22","usual","improper","foster","more","less_conv","inconv","nonprob","priority","priority"
"23","great_pret","less_proper","complete","3","less_conv","inconv","nonprob","not_recom","not_recom"
"24","great_pret","less_proper","incomplete","1","critical","inconv","nonprob","recommended","priority"
"25","great_pret","very_crit","completed","more","less_conv","convenient","problematic","recommended","spec_prior"
"26","usual","critical","completed","more","convenient","inconv","nonprob","recommended","priority"
"27","usual","less_proper","foster","2","critical","inconv","nonprob","not_recom","not_recom"
"28","usual","proper","incomplete","3","convenient","inconv","slightly_prob","not_recom","not_recom"
"29","pretentious","proper","complete","3","critical","convenient","slightly_prob","priority","priority"
"30","great_pret","proper","foster","2","convenient","inconv","problematic","priority","spec_prior"
"31","great_pret","improper","completed","more","critical","convenient","nonprob","priority","spec_prior"
"32","great_pret","improper","completed","3","critical","convenient","nonprob","priority","spec_prior"
"33","pretentious","very_crit","complete","1","convenient","inconv","slightly_prob","recommended","priority"
"34","great_pret","less_proper","incomplete","2","convenient","convenient","nonprob","recommended","priority"
"35","great_pret","proper","incomplete","1","less_conv","convenient","problematic","recommended","priority"
"36","usual","less_proper","complete","more","less_conv","convenient","nonprob","not_recom","not_recom"
"37","pretentious","critical","complete","3","critical","inconv","nonprob","priority","spec_prior"
"38","usual","critical","completed","more","less_conv","inconv","problematic","recommended","spec_prior"
"39","great_pret","very_crit","incomplete","2","convenient","inconv","slightly_prob","not_recom","not_recom"
"40","usual","critical","incomplete","more","less_conv","convenient","nonprob","not_recom","not_recom"
"41","pretentious","very_crit","complete","more","critical","inconv","slightly_prob","not_recom","not_recom"
"42","usual","very_crit","incomplete","2","critical","inconv","problematic","priority","spec_prior"
"43","pretentious","very_crit","incomplete","3","critical","convenient","slightly_prob","not_recom","not_recom"
"44","usual","proper","completed","1","convenient","convenient","nonprob","recommended","very_recom"
"45","great_pret","less_proper","complete","1","convenient","convenient","nonprob","priority","priority"
"46","pretentious","very_crit","completed","more","convenient","convenient","nonprob","not_recom","not_recom"
"47","great_pret","improper","incomplete","1","less_conv","convenient","nonprob","not_recom","not_recom"
"48","pretentious","improper","complete","more","convenient","convenient","slightly_prob","not_recom","not_recom"
"49","great_pret","proper","complete","3","less_conv","inconv","slightly_prob","priority","spec_prior"
"50","usual","less_proper","foster","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"51","usual","very_crit","foster","3","less_conv","convenient","problematic","recommended","spec_prior"
"52","usual","very_crit","incomplete","1","critical","inconv","slightly_prob","recommended","spec_prior"
"53","usual","very_crit","incomplete","more","critical","convenient","nonprob","not_recom","not_recom"
"54","usual","critical","completed","2","critical","convenient","problematic","not_recom","not_recom"
"55","great_pret","very_crit","completed","3","less_conv","convenient","nonprob","not_recom","not_recom"
"56","usual","proper","completed","2","less_conv","convenient","slightly_prob","not_recom","not_recom"
"57","pretentious","very_crit","foster","1","critical","convenient","problematic","not_recom","not_recom"
"58","usual","proper","complete","1","critical","convenient","slightly_prob","priority","priority"
"59","pretentious","very_crit","foster","2","less_conv","inconv","nonprob","not_recom","not_recom"
"60","pretentious","critical","incomplete","1","critical","inconv","nonprob","priority","spec_prior"
"61","pretentious","improper","incomplete","more","less_conv","inconv","nonprob","not_recom","not_recom"
"62","pretentious","critical","completed","3","critical","inconv","nonprob","not_recom","not_recom"
"63","great_pret","improper","incomplete","more","critical","inconv","problematic","recommended","spec_prior"
"64","great_pret","improper","incomplete","more","less_conv","convenient","problematic","recommended","spec_prior"
"65","usual","improper","foster","3","less_conv","convenient","nonprob","priority","priority"
"66","pretentious","improper","foster","1","critical","inconv","nonprob","recommended","priority"
"67","great_pret","very_crit","complete","1","less_conv","convenient","slightly_prob","recommended","priority"
"68","great_pret","proper","foster","2","less_conv","inconv","slightly_prob","not_recom","not_recom"
"69","great_pret","proper","completed","2","less_conv","inconv","problematic","recommended","priority"
"70","great_pret","critical","completed","1","less_conv","convenient","problematic","recommended","spec_prior"
"71","pretentious","very_crit","foster","3","less_conv","inconv","problematic","recommended","spec_prior"
"72","great_pret","less_proper","incomplete","2","critical","convenient","problematic","priority","spec_prior"
"73","pretentious","improper","complete","2","less_conv","convenient","problematic","not_recom","not_recom"
"74","great_pret","less_proper","foster","3","convenient","inconv","slightly_prob","priority","spec_prior"
