ID,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,target
9714,,,,,0.0,, <=50K
1826,0.0684931506849315,,,,,0.39795918367346933,
9507,0.0958904109589041,,0.5333333333333333,,,0.39795918367346933,
27887,,0.3009168579617229,0.5333333333333333,,,0.39795918367346933,
13104,,,0.4,,,,
24015,,,,,,0.5, >50K
19696,,0.25921951617065786,,0.0,,,
24628,0.5342465753424657,,,0.0,,,
23523,,,0.8,,0.0,0.39795918367346933,
27094,,,0.6666666666666666,,,, <=50K
5974,,0.0702917645780416,,0.0,,,
18919,,,0.6,0.0,0.0,,
7657,0.547945205479452,,,,0.0,, >50K
16258,,,0.5333333333333333,,,0.39795918367346933,
20827,,,0.4,0.06849068490684906,,,
12981,0.0,,,0.0,,,
23438,,,,0.0,,,
4155,,,,,,,
3793,,,,0.0,,, <=50K
20736,,,,0.0,,, >50K
28891,,0.013998723190394047,,,,, <=50K
26974,,,0.5333333333333333,,0.0,, >50K
6382,,,,0.0,,,
29410,,,,,,, <=50K
13182,,,0.5333333333333333,,0.0,0.39795918367346933,
23768,,,0.8666666666666667,,,,
9971,,0.10630254954428764,,0.0,0.0,0.44897959183673464,
20965,0.1232876712328767,0.06609798834571658,,,,,
15166,,0.06771777074476033,,,0.0,,
17251,,,,,,,
13916,,0.013584439222504447,0.33333333333333337,0.0,0.0,,
4526,,0.04127830374485541,,0.0,,,
28513,0.5205479452054793,,,,,,
29091,,,,,,, <=50K
4571,,0.1951549150378289,,,,0.5,
11081,0.35616438356164376,,,,,,
24987,,0.18428845030629848,,0.0,,,
21416,,0.054468833620841886,,0.0,,, <=50K
23559,0.1917808219178082,,0.9333333333333333,,0.0,0.5, <=50K
202,,0.16777685714673804,,,,, >50K
25900,0.2465753424657534,,,,,, <=50K
26790,,,,,0.0,0.39795918367346933, <=50K
1421,,,,,,0.39795918367346933, <=50K
28345,,,0.5333333333333333,,0.0,,
19201,,,0.6,,,,
8968,0.6027397260273972,0.13831583379742193,,,0.0,,
21750,0.0547945205479452,,,,0.0,0.11224489795918367,
3838,,,,,,,
29793,0.4246575342465753,,,,,,
16179,,0.07263484603577784,,,,, <=50K
13389,0.30136986301369856,,0.6,,,,
11833,,,,,,, <=50K
646,,0.2647369636380924,,,,0.39795918367346933, <=50K
9176,0.0410958904109589,,0.6,0.0,,,
28356,,,0.5333333333333333,0.0,0.0,,
21149,,,,,,, <=50K
9531,,,,0.0,,,
15645,,,,,,,
4778,,,,0.0,,,
24234,0.0821917808219178,,0.6,,,0.24489795918367346,
16104,0.0821917808219178,0.2765983890466036,,0.0,0.0,0.5408163265306122,
10669,,,0.5333333333333333,,,, <=50K
12428,,0.13899295038100543,,0.028850288502885027,,0.39795918367346933,
6646,,0.14360508550549436,0.6,,0.0,,
30410,0.6438356164383561,,,,,,
212,,,0.6,,0.0,,
10606,0.4520547945205479,,0.6,,0.0,, <=50K
726,,,,,,0.39795918367346933,
32138,,,,,,,
21263,,,0.2,,0.0,0.39795918367346933,
4506,0.2465753424657534,,0.5333333333333333,0.0,,0.6020408163265305, <=50K
11816,,,0.6,0.0,,0.39795918367346933, <=50K
31782,,0.15396082639464284,0.6,,0.0,0.6020408163265305,
24287,,,,,,,
28797,,,0.5333333333333333,,0.0,,
14686,0.1780821917808219,,0.5333333333333333,0.0,,0.520408163265306,
6915,,0.12549068879803318,,0.0,,,
30272,,0.16570883307751866,,,,, <=50K
28193,0.0547945205479452,,,,0.5456841138659321,0.47959183673469385,
18774,0.1780821917808219,,0.8,,0.0,,
22250,,,,,,, <=50K
15955,,,0.5333333333333333,0.0,,,
23853,,,,,,0.39795918367346933,
3527,0.0958904109589041,,,0.0,0.0,,
18068,,0.012653319025821437,,,,0.5,
18519,,,0.6,,,, >50K
7796,,,0.5333333333333333,,,,
6764,,0.14788579345567163,,0.0,,, >50K
16188,0.5616438356164384,0.20241167601635404,,0.0,,0.39795918367346933,
15240,,0.24209940098613167,,,,,
9086,0.3424657534246575,0.017375477105717116,0.6,,,0.39795918367346933,
11604,0.3972602739726027,,,,,0.39795918367346933,
12060,,,,0.0,,,
21089,,,,,,0.39795918367346933, >50K
19395,,,0.8,,0.0,, >50K
12679,,,,,,, >50K
2390,0.1780821917808219,,,,,0.6530612244897959,
2388,0.136986301369863,,0.2,,0.0,, <=50K
7937,,,0.6,0.0,0.0,,
20059,0.4383561643835617,0.17183276510778175,,,,,
30422,,0.11824139851401094,,,,,
21933,,,0.6,0.07978079780797807,,,
4009,,,,,,,
15750,0.2876712328767123,,,0.0,0.0,0.39795918367346933, <=50K
16130,,0.2427249018622404,,,,, <=50K
23140,,,,0.0,,, <=50K
25618,,,,0.0,0.0,, >50K
15844,,0.14319691392401626,,,,, <=50K
32284,,,,,,0.09183673469387754, <=50K
28108,,,,,0.0,,
1420,,0.1088663560668831,,,,,
2968,0.4383561643835617,0.06145393298107876,,,,,
26558,0.3698630136986301,0.104801619103245,,,,0.39795918367346933,
15973,,,0.6,,,0.44897959183673464,
14713,0.6849315068493149,,,0.02009020090200902,0.0,, <=50K
3552,,,,,,, >50K
31307,,,,0.0,,0.19387755102040813,
3985,,,0.5333333333333333,,,,
30481,,,,,,,
19555,0.2328767123287671,,,,,,
26886,,0.10842083101289035,,,,,
22202,,,,0.0,,, <=50K
3012,,0.12384441939120633,,,,0.44897959183673464,
24777,,0.07442170033006887,,0.0,0.0,0.39795918367346933,
6662,,,0.6,,0.0,,
29727,,,,,,,
3220,0.41095890410958896,0.060880047812444826,,,,,
17087,,0.12250512761304519,,,,,
13380,0.3150684931506849,,0.6666666666666666,,,, <=50K
25801,,,,0.0,0.0,0.7244897959183673,
15546,0.4520547945205479,,,0.0,,, >50K
31043,,0.07112916151641516,0.5333333333333333,,,,
27268,0.2465753424657534,,,0.0,0.45316804407713496,0.39795918367346933,
31389,,,,0.0,0.0,,
26355,,0.22555317097023947,,0.0,,, <=50K
29380,,,,,0.0,0.39795918367346933,
25313,,,,,,, >50K
22311,0.0273972602739726,,,,0.0,, <=50K
18502,,,0.33333333333333337,,,,
24909,,0.14980100786460385,,0.0,0.0,,
122,0.1780821917808219,,,0.0,,,
27198,,0.011430162589478545,0.6,0.0,0.0,,
18937,,,0.4666666666666667,0.0,,,
29116,,,,,0.0,,
6510,0.6712328767123288,,0.5333333333333333,,,0.2959183673469387,
7962,,0.1363177625949118,,0.04650046500465005,0.0,,
29331,,0.1441714999796254,,,,0.39795918367346933,
27705,,,0.6,,,,
10722,,,0.8,,,0.44897959183673464, <=50K
14023,,0.24730104182230614,,,,0.39795918367346933, <=50K
14771,,0.12131796634112549,,,,0.39795918367346933,
298,0.0958904109589041,0.18054970728460631,,0.0,,0.39795918367346933,
28148,0.5205479452054793,,,,0.0,, <=50K
27337,,,,0.0,,0.346938775510204,
11843,0.1232876712328767,,,0.0,,,
4652,,,,0.0,,0.37755102040816324,
28884,0.0821917808219178,0.08735958490104725,0.6,,,,
23807,,0.05664552233737656,,,,, <=50K
11217,,0.18530446475869658,,,,0.19387755102040813,
28165,,0.19290148191412776,,,,0.39795918367346933, <=50K
1692,0.0273972602739726,,0.5333333333333333,,,,
25290,,,,0.0,,0.8061224489795917,
30654,0.1232876712328767,0.19831162304233846,,,,,
12326,,0.1646812730063433,,0.0,,,
19936,,,0.5333333333333333,,0.0,, <=50K
28907,0.35616438356164376,0.14575800383042883,,,,0.39795918367346933,
12725,,0.12160728596460249,0.8,,,,
28588,,,0.2,0.0,,, <=50K
3041,,,,0.0,,,
22522,,,,,,, <=50K
22572,,,,,,,
28022,0.1780821917808219,,0.5333333333333333,,0.0,,
15565,0.3972602739726027,0.10769006125969492,,,,0.5,
13012,,,,,,,
8057,,0.13852772985968678,0.5333333333333333,,,,
9434,0.3972602739726027,0.10567433205199604,,,0.0,,
16445,0.4794520547945205,,,,,,
20641,,,0.8,,,0.5,
30450,,0.05043805435948982,,,,0.39795918367346933, <=50K
30872,,,,,,0.39795918367346933,
30147,0.1917808219178082,,,,0.0,0.19387755102040813,
28502,,,,0.0,,,
4235,0.1232876712328767,0.010921476209233777,,0.0,,0.39795918367346933, <=50K
2493,,,,0.0,0.0,0.19387755102040813,
28454,0.3972602739726027,0.058646310156069595,0.8,,,0.5,
2054,,,,,,0.39795918367346933, <=50K
12014,,,,0.0,,,
21589,,,0.6666666666666666,0.0,0.0,,
12906,,,,,,,
2089,,,,0.0,,, >50K
32082,,,,0.0,,,
6849,0.0958904109589041,0.162819711767023,,,,, >50K
31165,,,,,0.0,,
25577,,,,,,0.39795918367346933,
17451,,,,,0.0,,
5801,0.136986301369863,,0.5333333333333333,,,,
4916,0.41095890410958896,,,0.0,,0.39795918367346933,
31152,,,,,,, <=50K
